,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
603,SIKA.S,2024-02-09,1.1976848564930242e-09,5.063223872674548e-10,1.8890473257185935e-09
604,SIKA.S,2024-02-12,2.1412961638486173e-09,1.7791165933393973e-09,2.503475734357837e-09
605,SIKA.S,2024-02-13,3.9178062780263335e-10,9.348491741538481e-12,7.742127638637282e-10
606,SIKA.S,2024-02-14,6.812460722803361e-10,4.211835776147932e-10,9.413085669458792e-10
607,SIKA.S,2024-02-15,4.893839472701304e-10,2.448821499229223e-10,7.338857446173386e-10
608,SIKA.S,2024-02-16,4.364380596157491e-10,1.956768997305349e-10,6.771992195009633e-10
609,SIKA.S,2024-02-19,5.020766030144446e-10,2.768774828072191e-10,7.272757232216701e-10
610,SIKA.S,2024-02-20,5.780577232464244e-10,2.8699579809102767e-10,8.691196484018212e-10
611,SIKA.S,2024-02-21,1.978861909739448e-10,4.73883367313962e-11,3.483840452164934e-10
612,SIKA.S,2024-02-22,3.7080139038310455e-10,-1.0750270425511687e-11,7.523530511917208e-10
613,SIKA.S,2024-02-23,5.116933662554576e-10,1.0273878748062042e-10,9.206479450302948e-10
614,SIKA.S,2024-02-26,9.184824831066958e-10,2.04696362439271e-10,1.6322686037741205e-09
615,SIKA.S,2024-02-27,3.9740630988459567e-10,9.661230861671914e-11,6.982003111524721e-10
616,SIKA.S,2024-02-29,4.4712648368634076e-10,2.0186436036437208e-10,6.923886070083094e-10
617,SIKA.S,2024-03-01,5.501888854516176e-10,3.4505245299713966e-10,7.553253179060955e-10
618,SIKA.S,2024-03-04,5.987060568723394e-10,4.373635160248745e-10,7.600485977198044e-10
619,SIKA.S,2024-03-05,9.750454471626088e-10,4.779375358015826e-10,1.472153358523635e-09
620,SIKA.S,2024-03-06,8.601500443811966e-10,3.976405730360006e-10,1.3226595157263927e-09
621,SIKA.S,2024-03-07,1.775653348044366e-10,2.215258263424549e-11,3.3297808697462774e-10
622,SIKA.S,2024-03-08,6.441632354988263e-10,4.0821960000531524e-10,8.801068709923374e-10
623,SIKA.S,2024-03-11,6.830300763504535e-10,2.2204600486543417e-10,1.1440141478354728e-09
624,SIKA.S,2024-03-12,1.491548071247083e-09,1.0451631308555252e-09,1.937933011638641e-09
625,SIKA.S,2024-03-13,4.466527997446266e-10,2.6801923051761535e-10,6.252863689716379e-10
626,SIKA.S,2024-03-14,2.1547663326548913e-10,1.3062211513759733e-10,3.003311513933809e-10
627,SIKA.S,2024-03-15,9.651304809642168e-11,-5.891339097698375e-10,7.821600059626809e-10
628,SIKA.S,2024-03-18,3.4115647001100593e-09,2.202811835254645e-09,4.620317564965474e-09
629,SRENH.S,2023-12-21,3.894340265731579e-10,2.989181065505115e-10,4.799499465958042e-10
630,SRENH.S,2023-12-22,1.0998347484073086e-10,4.070206879763018e-12,2.1589674280169869e-10
631,SRENH.S,2023-12-27,1.7229187793868747e-09,9.57496349547685e-10,2.4883412092260645e-09
632,SRENH.S,2023-12-28,3.4488299699230737e-10,2.5551051032822685e-10,4.342554836563879e-10
633,SRENH.S,2023-12-29,2.8708245878849644e-10,1.4344072235178553e-10,4.307241952252074e-10
634,SRENH.S,2024-01-03,1.1927228644006338e-10,8.359625633133817e-11,1.5494831654878859e-10
635,SRENH.S,2024-01-04,1.6254768253438656e-10,1.0629565413865852e-10,2.187997109301146e-10
636,SRENH.S,2024-01-05,3.6600308833294723e-10,2.552939800982978e-10,4.767121965675967e-10
637,SRENH.S,2024-01-08,1.8450050790548318e-10,6.976327820663386e-11,2.992377376043325e-10
638,SRENH.S,2024-01-09,1.1120128519077905e-10,5.659546089537463e-11,1.6580710948618347e-10
639,SRENH.S,2024-01-10,2.5232824072156517e-10,1.753722457502038e-10,3.2928423569292653e-10
640,SRENH.S,2024-01-11,2.4813254003638193e-10,1.9750792390822347e-10,2.987571561645404e-10
641,SRENH.S,2024-01-12,2.7127093746249726e-10,1.6777398525361502e-10,3.747678896713795e-10
642,SRENH.S,2024-01-15,1.8674324542329443e-10,8.69399344138672e-11,2.8654655643272166e-10
643,SRENH.S,2024-01-16,2.2808806069546505e-10,1.5179067308148496e-10,3.0438544830944514e-10
644,SRENH.S,2024-01-17,6.28173626827489e-11,3.6217184151228186e-11,8.941754121426962e-11
645,SRENH.S,2024-01-18,1.3990506814706272e-10,9.977160793788701e-11,1.8003852835623842e-10
646,SRENH.S,2024-01-19,1.9280148951438554e-10,1.3331667348410352e-10,2.5228630554466756e-10
647,SRENH.S,2024-01-22,8.999411751556144e-11,-2.432651399209325e-11,2.0431474902321613e-10
648,SRENH.S,2024-01-23,4.4217823428784977e-10,3.635924096909124e-10,5.207640588847871e-10
649,SRENH.S,2024-01-24,1.099724703429064e-10,4.514161020161373e-11,1.7480333048419907e-10
650,SRENH.S,2024-01-25,1.026963800448989e-10,2.572678927994108e-12,2.0282008116180368e-10
651,SRENH.S,2024-01-26,1.6463290362366095e-10,6.99976241486723e-11,2.592681830986496e-10
652,SRENH.S,2024-01-29,1.6088102352134774e-10,1.0631431406272243e-10,2.1544773297997305e-10
653,SRENH.S,2024-01-30,3.1955166449217963e-10,1.6139069803323756e-10,4.777126309511217e-10
654,SRENH.S,2024-01-31,1.536689570453272e-10,1.0553394676570288e-10,2.0180396732495153e-10
655,SRENH.S,2024-02-01,1.3585162496704223e-10,5.699642103237204e-11,2.147068289017124e-10
656,SRENH.S,2024-02-02,1.7373043265096e-10,1.0176396011215396e-10,2.4569690518976604e-10
657,SRENH.S,2024-02-05,1.5508096941167753e-10,3.622186439740998e-11,2.739400744259451e-10
658,SRENH.S,2024-02-06,5.468695951446325e-10,2.725250488455593e-10,8.212141414437057e-10
659,SRENH.S,2024-02-07,2.1223083020603386e-10,1.353766312354115e-10,2.8908502917665623e-10
660,SRENH.S,2024-02-08,1.0312376430240069e-10,-1.7275222098922076e-11,2.2352275070372346e-10
661,SRENH.S,2024-02-09,2.7700109161036796e-10,2.0640686160949447e-10,3.4759532161124144e-10
662,SRENH.S,2024-02-12,1.335337954178798e-10,4.703588143469217e-11,2.2003170940106745e-10
663,SRENH.S,2024-02-13,1.097654806390007e-10,-2.485306541290928e-12,2.2201626781929233e-10
664,SRENH.S,2024-02-14,1.5474257458389842e-10,4.6402327258734776e-11,2.6308282190906206e-10
665,SRENH.S,2024-02-15,3.4230259353937014e-10,1.5339616247479188e-10,5.312090246039484e-10
666,SRENH.S,2024-02-16,8.740760780375658e-10,6.348244517399011e-10,1.1133277043352304e-09
667,SRENH.S,2024-02-19,7.810568382025663e-10,6.766197189160718e-10,8.854939574890608e-10
668,SRENH.S,2024-02-20,2.3862323630536327e-10,1.0003601995155219e-10,3.7721045265917435e-10
669,SRENH.S,2024-02-21,5.67081814434632e-10,4.871693142806126e-10,6.469943145886513e-10
670,SRENH.S,2024-02-22,6.095556939751773e-11,2.0629928730483976e-11,1.012812100645515e-10
671,SRENH.S,2024-02-23,1.8912171473797927e-10,3.801683881520553e-11,3.40226590660753e-10
672,SRENH.S,2024-02-26,1.4993772932127292e-10,1.0391579497095528e-10,1.9595966367159056e-10
673,SRENH.S,2024-02-27,2.8462712404132144e-10,1.8052253616367666e-10,3.887317119189662e-10
674,SRENH.S,2024-02-28,4.369732584147489e-10,3.2553063497660583e-10,5.48415881852892e-10
675,SRENH.S,2024-02-29,6.349754214555797e-11,1.1921284811255506e-11,1.1507379947986042e-10
676,SRENH.S,2024-03-01,2.682753022826607e-10,1.1979498244158572e-10,4.167556221237357e-10
677,SRENH.S,2024-03-04,1.400039384298802e-10,8.340624757440936e-11,1.9660162928535105e-10
678,SRENH.S,2024-03-05,1.8350539591844868e-10,1.0450622032912146e-10,2.625045715077759e-10
679,SRENH.S,2024-03-06,2.8197498764501577e-10,2.0229168276877043e-10,3.616582925212611e-10
680,SRENH.S,2024-03-07,2.68917872963843e-10,2.004228110050076e-10,3.374129349226784e-10
681,SRENH.S,2024-03-08,2.981148588684529e-10,2.191314659336938e-10,3.77098251803212e-10
682,SRENH.S,2024-03-11,5.916921024411178e-11,3.610534505280914e-11,8.223307543541441e-11
683,SRENH.S,2024-03-12,2.2780473204272457e-10,1.499413130878235e-10,3.0566815099762564e-10
684,SRENH.S,2024-03-13,1.9071204028101675e-10,1.1593618613625103e-10,2.6548789442578245e-10
685,SRENH.S,2024-03-14,9.248929614291971e-11,7.477716898358941e-11,1.1020142330225002e-10
686,SRENH.S,2024-03-15,6.039913346701504e-10,4.297812725926888e-10,7.78201396747612e-10
687,SRENH.S,2024-03-18,7.38967562325987e-11,5.41673476379963e-11,9.362616482720111e-11
688,UBSG.S,2023-12-21,4.214087984727555e-11,2.6257874547186776e-11,5.8023885147364324e-11
689,UBSG.S,2023-12-22,6.999152487507845e-11,4.9976598264714196e-11,9.000645148544271e-11
690,UBSG.S,2023-12-27,2.3464420559768773e-11,1.659709937774013e-11,3.033174174179742e-11
691,UBSG.S,2023-12-28,9.127532583977255e-11,5.1029371256452146e-11,1.3152128042309295e-10
