,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
249,SCHN.S,2024-01-26,1.4827490678955215e-08,6.023143647380861e-09,2.363183771052957e-08
250,SCHN.S,2024-01-29,1.383768847689364e-08,-9.131778177915632e-10,2.8588554771578844e-08
251,SCHN.S,2024-01-30,3.1346288454801524e-08,8.864575902155165e-09,5.382800100744788e-08
252,SCHN.S,2024-01-31,3.078399592361957e-08,2.057919041847575e-08,4.098880142876339e-08
253,SCHN.S,2024-02-01,7.941103684881894e-08,6.316855947951322e-08,9.565351421812466e-08
254,SCHN.S,2024-02-02,2.0998648340924566e-08,-1.8152441476471055e-09,4.381254082949624e-08
255,SCHN.S,2024-02-05,1.2911439474433444e-08,7.515360335118254e-09,1.830751861374863e-08
256,SCHN.S,2024-02-06,2.9015202173177097e-08,1.7518642084643603e-08,4.051176226171059e-08
257,SCHN.S,2024-02-07,6.988122760382193e-09,1.2063146022033812e-09,1.2769930918561006e-08
258,SCHN.S,2024-02-08,5.663279540158199e-09,-2.5040243957400405e-09,1.3830583476056438e-08
259,SCHN.S,2024-02-09,2.7091127377297717e-07,1.6345360620347367e-07,3.7836894134248066e-07
260,SCHN.S,2024-02-12,1.8212845056441858e-08,2.591914438598964e-09,3.383377567428475e-08
261,SCHN.S,2024-02-13,8.684618488659034e-08,6.79337791015235e-08,1.0575859067165718e-07
262,SCHN.S,2024-02-14,2.6890695154180637e-08,1.6396591342431694e-08,3.738479896592958e-08
263,SCHN.S,2024-02-15,9.767204710139858e-09,-2.6238997230614186e-09,2.2158309143341134e-08
264,SCHN.S,2024-02-16,1.853147404607814e-08,4.9503126123698144e-09,3.2112635479786464e-08
265,SCHN.S,2024-02-19,4.411962440238019e-08,2.5997119673509727e-08,6.224212913125065e-08
266,SCHN.S,2024-02-20,1.0394769718630816e-08,7.108400125328484e-09,1.3681139311933149e-08
267,SCHN.S,2024-02-21,2.362409647932785e-07,9.340870091571992e-08,3.7907322867083705e-07
268,SCHN.S,2024-02-22,2.6966865816354333e-08,9.8072747316901e-09,4.4126456901018566e-08
269,SCHN.S,2024-02-23,2.0409172243609723e-08,1.1084965120529721e-08,2.9733379366689725e-08
270,SCHN.S,2024-02-26,9.963334526891626e-09,4.692325507479754e-09,1.5234343546303497e-08
271,SCHN.S,2024-02-27,9.20902647678002e-09,2.6477257156107157e-09,1.5770327237949323e-08
272,SCHN.S,2024-02-28,3.408900317589547e-09,1.1607843142579728e-09,5.6570163209211216e-09
273,SCHN.S,2024-02-29,1.5905601353810677e-08,-1.2016577206867775e-08,4.382777991448913e-08
274,SCHN.S,2024-03-01,5.474314669508671e-09,4.682126144352476e-09,6.266503194664866e-09
275,SCHN.S,2024-03-04,1.2111288005741486e-08,7.558269781395086e-09,1.6664306230087885e-08
